title,vote_average,popularity,title_clean
Austin Powers: The Spy Who Shagged Me,6.3,4.4495,austin powers: the spy who shagged me
Boogie Nights,7.629,6.6444,boogie nights
Charlie's Angels,6.39,7.9683,charlie's angels
Congo,5.59,3.8902,congo
Dennis the Menace,5.883,3.8404,dennis the menace
Dreamy Eyes,6.7,0.4515,dreamy eyes
Dynasty Warriors,5.892,2.4458,dynasty warriors
Hampstead,5.995,0.8072,hampstead
Kung Fu Panda,7.315,12.4147,kung fu panda
Kung Fu Panda 2,7.059,9.3873,kung fu panda 2
Life as We Know It,6.902,2.7427,life as we know it
Mary Magdalene,6.293,1.85,mary magdalene
Memoirs of a Geisha,7.644,4.384,memoirs of a geisha
Midnight Run,7.191,2.3003,midnight run
Mobile Suit Gundam Hathaway,7.2,3.4925,mobile suit gundam hathaway
Mortal Kombat,6.992,6.4531,mortal kombat
Mother's Day,6.47,1.081,mother's day
No Strings Attached,6.295,5.8325,no strings attached
Not Another Teen Movie,5.8,4.8721,not another teen movie
Ophelia,6.0,0.154,ophelia
Pet Sematary 2,5.477,2.2246,pet sematary 2
Quarantine Tales,6.9,0.1607,quarantine tales
Red Joan,6.643,3.1963,red joan
Sailor Moon Crystal,7.844,1.7389,sailor moon crystal
Seven Pounds,7.603,4.5326,seven pounds
She's Out of My League,6.481,4.5896,she's out of my league
Snow Day,5.1,1.9423,snow day
Star Trek,7.4,8.3679,star trek
Stuart Little,6.067,4.3764,stuart little
Sword of Trust,5.9,0.3399,sword of trust
Talladega Nights: The Ballad of Ricky Bobby,6.365,2.3717,talladega nights: the ballad of ricky bobby
The American,5.971,3.8569,the american
The Best of Enemies,7.4,0.9665,the best of enemies
